Month,Year,Consumer Confidence Index TX,Consumer Confidence West South Central,Consumer Confidence Index US,PCE Deflator,Consumer Price Index TX,Consumer Price Index U.S.,CPI U.S. Ex Food and Energy,Nonfarm Employment TX,Nonfarm Employment U.S.,Unemployment TX,Unemployment U.S.,Single Family Building Permits TX,Multi Family Building Permits TX,Existing Single Family Home Sales TX,Existing Single Family Home Price TX,Non Residential Building Construction,Total Sales Tax Collections Retail TX,Total Sales Tax Collections TX,Retail Gasoline Price TX,Retail Diesel Price TX,Nonfarm Employment Illinois,Nonfarm Employment Florida,Nonfarm Employment New York,Nonfarm Employment Texas,Nonfarm Employment California,Gross Value Crude Oil Production,Gross Value Natural Gas Production,Motor Fuel Taxed Gasoline,Motor Fuel Taxed Diesel
12,2020,86.9,84.4,87.1,,235.079,260.474,,12.352,142.497,6.9,6.7,"14,485","5,796","36,497","270,000","3,249.78","1,633.89","2,880.4",1.932,2.339,"5,637.3","8,492","8,723.3","12,365.2","15,937.9","5,616.30","1,891.11","1,057.6",359.0
1,2021,100.7,94,87.1,,236.941,261.582,,12.397,143.017,6.7,6.4,"13,691","7,369","24,244","262,000","2,335.68","1,613.56","3,097.31",2.085,2.443,"5,660.5","8,492.5","8,768.6","12,404.2","15,857.9","6,314.73","1,680.74","1,091.5",401.7
2,2021,98.9,97.5,95.2,,238.141,263.014,,12.352,143.727,6.6,6.2,"12,058","6,363","24,054","275,000","2,057.06","1,380.5","2,555.08",2.259,2.604,"5,697.8","8,521.4","8,784.1","12,401.8","16,014","5,229.06","4,996.12","1,059.7",397.6
3,2021,125.5,119.1,114.9,,240.542,264.877,,12.476,144.431,6.4,6,"17,128","6,872","35,281","282,888","2,804.66","1,403.73","2,565.57",2.585,2.94,"5,726.7","8,552","8,853","12,511.5","16,146.4","7,984.61","3,254.60",871.4,312.9
4,2021,127.5,118.2,117.5,,242.815,267.054,,12.543,144.694,6.2,6,"16,286","8,333","35,948","290,500","2,757.59","1,860.15","3,409.86",2.605,2.925,"5,728.3","8,577.8","8,879.9","12,526.5","16,248.4","7,567.16","3,019.39","1,196.0",457.6
5,2021,131.5,119.3,120,,244.864,269.195,,12.595,145.141,5.9,5.8,"15,854","4,921","37,589","300,250","3,481.19","1,876","3,384.85",2.74,2.995,"5,732.6","8,616.9","8,878.4","12,568.5","16,343.1","8,221.81","3,433.29","1,181.4",424.8
6,2021,133.1,131.6,128.9,,246.468,271.696,,12.652,145.698,5.9,5.9,"15,810","9,278","41,275","310,000","3,352.5","1,722.64","3,138.8",2.785,3.04,"5,758.7","8,688.2","8,891.8","12,627.4","16,414.6","8,699.14","3,769.99","1,208.3",400.5
7,2021,121.4,112.5,125.1,,246.922,273.003,,12.776,146.387,5.6,5.4,"13,898","7,158","39,250","310,000","2,428.97","1,761.34","3,378.82",2.861,3.08,"5,796.8","8,761.7","8,936.1","12,721","16,527.8","9,227.60","4,621.80","1,185.0",414.9
8,2021,117.6,116.8,115.2,,247.465,273.567,,12.802,147.221,5.3,5.2,"13,444","9,678","38,668","310,000","2,646.71","1,761.34","3,306.24",2.867,3.07,"5,829.5","8,995.9","9,086.6","12,802.3","16,954.9","8,733.75","4,880.59","1,227.3",462.8
9,2021,121.3,111.2,109.8,,248.346,274.31,,12.852,147.778,5.1,4.7,"12,812","5,411","36,811","308,000","3,301.34","1,677.76","3,153",2.859,3.116,"5,846.8","9,031.3","9,151.1","12,851.9","16,959.8","9,138.66","5,458.53","1,231.6",407.4
10,2021,106.1,103.7,111.6,,250.441,276.589,,13.002,148.559,4.9,4.6,"13,661","5,356","33,730","310,000","3,351.82","1,721.93","3,375.1",2.976,3.361,"5,898.9","9,145.5","9,268.7","13,001.5","17,212.4","10,694.11","6,763.96","1,181.2",451.6
11,2021,115.8,104.3,111.9,,251.202,277.948,,13.0508,149.173,4.6,4.2,"12,401","6,140","32,639","315,000","2,739.47","1,871.52","3,576.38",3.073,3.471,"5,919.8","9,185.4","9,311.1","13,050.8","17,275.9","10,087.87","6,233.73","1,221.9",482.2
12,2021,115.6,113.3,115.2,,251.847,278.802,,13.1289,149.742,4.5,3.9,"13,514","8,800","35,765","321,000","2,740.25","2,014.78","3,585.94",2.967,3.361,"5,954","9,216.1","9,362.6","13,128.9","17,340.8","9,525.93","5,384.92","1,188.0",402.0
1,2022,120.1,114,111.1,,254.537,281.148,,13.1343,150.106,4.3,4,"15,315","8,124","25,061","313,496","4,245.51","1,967.85","3,847.78",3.005,3.463,"5,952.1","9,218.3","9,348","13,134.3","17,382","10,865.83","5,355.06","1,199.5",302.6
2,2022,113.4,106.2,105.7,,257.225,283.716,,13.216,151.01,4.1,3.8,"15,110","5,625","27,399","325,000","3,299.38","1,570.79","3,228.94",3.253,3.804,"5,968.8","9,278.9","9,412.9","13,216","17,508.7","10,797.38","6,284.20","1,110.2",422.9
3,2022,108.4,100.9,107.6,,261.47,287.504,,13.2651,151.424,3.9,3.6,"18,281","8,621","35,330","335,000","3,190.51","1,809.17","3,369.38",3.938,4.937,"5,988.9","9,296.5","9,442.5","13,265.1","17,568.3","14,734.36","6,880.65","1,033.4",375.8
4,2022,120.7,108.8,108.6,,263.759,289.109,,13.352,151.678,3.8,3.6,"16,565","9,266","34,041","349,750","3,199.36","1,889.16","3,798.19",3.784,4.885,"6,009.5","9,365.7","9,438.8","13,352","17,627.6","13,686.61","8,282.23","1,222.6",479.1
5,2022,103.4,101.1,103.2,,266.847,292.296,,13.395100000000001,152.042,3.8,3.6,"15,402","9,333","36,741","360,000","5,003.74","1,900.65","3,695.08",4.165,5.248,"6,015.9","9,394.6","9,475.5","13,395.1","17,645.2","14,741.37","8,505.78","1,204.8",423.2
6,2022,101.2,97.4,98.4,,270.918,296.311,,13.4145,152.412,3.8,3.6,"14,961","11,285","37,492","360,000","4,560.18","1,904.4","3,685.62",4.67,5.393,"6,023.1","9,412.5","9,503.2","13,414.5","17,675","15,110.18","7,342.46","1,250.3",400.2
7,2022,96.8,91.1,95.3,,270.424,296.276,,13.533100000000001,152.98,3.8,3.5,"11,387","13,366","32,571","350,000","3,233.65","1,872.61","3,868.89",4.144,5.135,"6,067.5","9,483.1","9,560.1","13,533.1","17,731.7","13,962.69","7,730.56","1,178.9",468.7
8,2022,101.9,96.5,103.6,,270.49,296.171,,13.5792,153.332,3.8,3.7,"12,549","8,357","33,831","343,872","14,039.55","1,868.6","3,749.68",3.535,4.706,"6,072.3","9,522.9","9,588.4","13,579.2","17,761.8","13,066.22","8,943.11","1,189.2",445.0
9,2022,104.7,101.3,107.8,,271.469,296.808,,13.6234,153.682,3.9,3.5,"10,825","8,850","31,020","340,370","9,348.88","1,805.82","3,706.64",3.194,4.717,"6,082.7","9,556.8","9,590.4","13,623.4","17,783.9","8,919.56","8,019.93","1,221.4",454.6
10,2022,103.8,99.1,102.2,,270.924,298.012,,13.6552,154.006,4,3.7,"9,970","10,721","26,196","335,000","7,696.91","1,863.04","3,821.49",3.23,4.885,"6,070.8","9,570","9,592.5","13,655.2","17,778.1","12,534.87","5,727.06","1,183.0",398.5
11,2022,103.4,96,101.4,,270.579,297.711,,13.6801,154.296,4,3.6,"8,222","6,171","23,102","330,000","3,533.33","1,994.62","3,947.99",3.065,4.826,"6,076.6","9,579.8","9,606.7","13,680.1","17,788.4","11,797.17","5,082.25","1,240.0",450.9
12,2022,101.3,98.6,109,,268.366,296.797,,13.707799999999999,154.535,4.1,3.5,"7,346","8,126","25,117","331,000","12,947.14","2,015.16","3,967.34",2.719,4.309,"6,070.7","9,612.1","9,614.5","13,707.8","17,794","9,270.19","5,209.52","1,180.8",437.0
1,2023,114.1,105.7,106,,270.886,299.17,,13.7895,154.773,4.1,3.4,"8,142","9,288","18,008","319,000","3,224.03","2,016.92","4,101.5",3.026,4.277,"6,108.9","9,645","9,661.1","13,789.5","17,781.6","10,889.48","2,660.26","1,203.3",375.0
2,2023,111.3,104,103.4,,273.112,300.84,,13.812299999999999,155.06,4,3.6,"9,753","8,374","23,503","325,000","2,903.45","1,735.37","3,698.41",3.033,4.132,"6,109.3","9,661.4","9,669.6","13,812.3","17,791.4","9,635.94","1,379.56","1,134.3",416.0
3,2023,109.2,107.1,104,,274.636,301.836,,13.845,155.206,4,3.5,"13,772","6,899","30,867","330,043","3,394.67","1,841.12","3,596.14",3.097,3.959,"6,113","9,688","9,680.7","13,845","17,778.5","10,614.34","1,653.47","1,087.1",376.9
4,2023,111.9,109.7,103.7,,276.653,303.363,,13.853,155.484,4,3.4,"12,854","4,500","28,522","337,000","3,686.31","1,997.4","4,071.44",3.335,3.867,"6,106.3","9,709.1","9,678.6","13,853","17,784.8","11,026.36","1,263.42","1,177.7",440.4
5,2023,105.6,100,102.5,,277.404,304.127,,13.8789,155.787,4,3.7,"14,233","9,068","34,391","345,000","4,552.85","1,892.05","3,843.43",3.139,3.619,"6,107.1","9,729.4","9,707.8","13,878.9","17,826.2",,,"1,283.5",448.6
6,2023,112.5,107,110.1,,278.22,305.109,,13.9214,156.027,3.9,3.6,"15,165","6,752","34,286","347,990","5,247.44","1,935.52","3,913.31",3.201,3.5,"6,134.1","9,765","9,728.1","13,921.4","17,832.4",,,"1,254.0",400.1
7,2023,130,123.5,114,,278.448,305.691,,13.9009,156.211,3.9,3.5,"12,559","6,957","29,767","345,000","3,332.56","1,899.9","3,966.88",3.312,3.59,"6,119.2","9,760.3","9,728.9","13,900.9","17,791",,,"1,227.1",447.4
8,2023,108.8,102.4,108.7,,280.209,307.026,,13.9368,156.421,3.9,3.8,"15,190","7,424","31,494","340,000","4,470.35","1,914.98","3,916.93",3.498,4.08,"6,118.4","9,773.5","9,737.3","13,936.8","17,803.9",,,"1,237.1",441.9
9,2023,97.4,91.8,104.3,,281.414,307.789,,13.9625,156.667,3.9,3.8,"11,438","6,774","26,417","338,000","5,459.49","1,842.89","3,869.46",3.434,4.254,"6,132.3","9,792.4","9,749.6","13,962.5","17,832.4",,,"1,272.0",408.3
10,2023,116.1,104.8,99.1,,280.609,307.671,,14.001700000000001,156.832,3.9,3.8,"12,925","7,965","24,655","330,000","3,996.55","1,803.68","3,802.5",3.156,4.167,"6,101.9","9,812.8","9,737.5","14,001.7","17,878.1",,,"1,200.2",401.9
11,2023,113.3,101,101,,281.688,307.051,,14.0124,157.014,3.9,3.7,"11,015","4,174","22,810","325,000","3,071.75","1,955.78","4,071.65",2.824,3.898,"6,107.2","9,846.6","9,736","14,012.4","17,907.4",,,"1,252.9",413.0
12,2023,120.4,104.1,108,,281.716,306.746,,14.0345,157.304,3.9,3.7,"10,221","4,197","23,404","335,000","9,591.75","2,170.22","4,065.28",2.683,3.639,"6,100.6","9,865.8","9,762.5","14,034.5","17,948.9",,,"1,190.6",428.2
1,2024,124.3,113.5,110.9,,283.863,308.417,,14.0539,157.56,3.9,3.7,"12,858","6,201","19,340","324,900","7,053.93","2,045.73","4,101.09",2.749,3.583,"6,099.7","9,893.1","9,802.5","14,053.9","17,974.5",,,"1,176.3",382.3
2,2024,117.8,109.4,104.8,,285.363,310.326,,14.0966,157.83,3.9,3.9,"13,596","3,602","24,074","333,000","3,900.99","1,773.69","3,695.07",2.918,3.795,"6,126.4","9,888.7","9,801.2","14,096.6","17,967.9",,,,
3,2024,121.7,112.6,104.7,,286.627,312.332,,14.1157,158.133,3.9,3.8,,,"28,947","337,900","5,259.06","1,896.39","3,769.35",3.109,3.724,"6,139.1","9,899.1","9,825.1","14,115.7","17,996.2",,,,
4,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
